Name                       Location              DrillSize        Start<->End
SMDRX0_30Y2_16             (29.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (30.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (30.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (31.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (31.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (32.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (32.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (33.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (33.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (34.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (34.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (35.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (35.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (36.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (36.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (37.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (37.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (38.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (38.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (39.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (39.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (40.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (40.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (41.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (43.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (44.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (44.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (45.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (45.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (46.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (46.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (47.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (47.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (48.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (48.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (49.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (49.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (50.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (50.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (51.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (51.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (52.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (52.5 0.0)            0.0              TOP<->TOP
